
base00 #282828 Black
base01 #3c3836 DarkGray
base02 #504945 DarkGreen
base03 #665c54 DarkYellow
base04 #bdae93 DarkBlue
base05 #d5c4a1 DarkCyan
base06 #ebdbb2 Gray
base07 #fbf1c7 White
base08 #fb4934 Red
base09 #fe8019 DarkRed
base0A #fabd2f Yellow
base0B #b8bb26 Green
base0C #8ec07c Cyan
base0D #83a598 Blue
base0E #d3869b Magenta
base0F #d65d0e DarkMagenta


